TDOA_12,TDOA_13,TDOA_14,Orientation,x,y
-0.0009,-0.0017,-0.0006,1.07547452213078,2.32500391503432,2.92344535408757
-0.0012,-0.0004,0.0004,1.64358822752114,0.538572068662112,0.170722185671445
-0.0005,0.0007,0.0011,2.50731266213629,4.53151522849032,2.46321534287082
0.0012,0.0012,-0,4.2393396334339,4.55927847499462,1.31412058181119
0.0011,0.0005,-0.0006,5.84421253846182,0.674290395143102,3.37192460609454
0.0004,-0.0008,-0.0012,6.07092364203298,3.04806989405411,3.50007247437923
-0.0006,0.0005,0.001,3.35772076806877,0.335588313372864,3.28402083143845
-0.0007,0.0004,0.001,2.13932816669817,3.11960264901342,1.09433645466426
-0.001,-0.0016,-0.0004,1.93295755167297,0.0176978155242208,0.786674220322928
0.0006,0.0017,0.0011,4.44748761880072,0.073220565843794,4.16445816997637
-0.0011,-0.0015,-0.0003,1.11350243508771,3.65792383136606,2.59827862752525
-0.0006,-0.0017,-0.001,1.11574649444958,0.980792482231796,3.7135583622995
0.0011,0.0018,0.0008,4.55679504089346,1.68731191444468,4.69106491679328
0.0012,0.001,-0.0002,4.80645496818203,4.38131245133432,3.78334124429262
-0.0005,-0.0017,-0.0011,0.800214055129343,1.11765806099019,2.51752544231296
-0.0011,-0.0017,-0.0006,1.39842053682684,1.8396841312728,3.81354798482453
0.0012,0.0016,0.0005,4.16906926765593,3.08918697489915,2.36905469014948
-0.0008,0.0002,0.0009,2.9515024886027,1.26951274181919,4.55659846602566
-0.0001,0.0011,0.0012,3.49903944159109,1.30570236822654,3.60351180429365
0.0004,-0.0007,-0.0012,5.64174920218512,4.28392191950684,2.2006231292041
0.0008,-0.0001,-0.0009,5.71337538414547,2.92543083751969,4.10449811868494
-0.0005,-0.0017,-0.001,0.238311603425084,1.81045253565306,1.0750344454651
-0.001,-0.0017,-0.0007,1.27223448131058,1.36940914443651,2.7838480057318
0.0012,0.0011,-0.0002,4.91029625248109,4.31735873539982,4.74086565855973
-0.0003,0.0009,0.0012,2.6103229786415,2.01037480701637,1.18832702542951
0.0005,-0.0005,-0.0011,6.13589383210561,1.44958987687704,2.81191409102674
-0.0011,-0.0016,-0.0004,1.28632222403856,3.09994421896248,3.90754307741802
-0.0012,-0.0011,0.0002,2.00849274325226,2.25746605357095,4.39239838719565
0.0006,-0.0002,-0.0012,4.98763953109099,0.699479607592089,0.0983662930686474
0.0008,0.0017,0.0011,3.02206369413117,1.49301603970155,0.0824786900386398
0.001,0.0017,0.0008,3.80410063635704,2.60419509744485,1.5560697763226
0.0002,0.0014,0.0012,3.52546238938012,3.12071626638057,4.69847136966995
-0.0001,-0.0013,-0.0012,0.124797069132171,4.09225637051313,4.09844057236227
0.0012,0.0008,-0.0004,4.34672093052688,3.26745551444651,0.357893402495049
0.0011,0.0017,0.0008,3.39971336058108,1.89179640699732,0.245675829373462
0.0001,-0.0011,-0.0012,6.04208453227685,2.64149571524452,1.85547728641242
-0.0006,0.0005,0.0011,2.55832712357908,3.18260953581652,2.94818582180323
-0.0011,-0.0005,0.0005,1.38958739505347,3.61154162883126,0.422318936214827
0.0013,0.0015,0.0003,4.4083449417342,4.70155457800398,3.621547689796
0.0012,0.0015,0.0004,4.34335852455495,2.91618829804814,2.48661690149098
0.0002,-0.001,-0.0012,5.45811473808027,4.1218370103831,0.54935136375873
0.001,0.0003,-0.0007,5.30175448882602,2.42601293923763,2.43590064910272
-0.0007,0.0004,0.001,2.65805812870201,1.71957228494701,1.99916176339718
0.0009,0.0017,0.0008,3.67031268632893,3.2926805887464,1.67640036895695
-0.0011,-0.0004,0.0006,1.34310408253329,3.2069230609297,0.134879917767657
0.0012,0.0015,0.0003,5.06696124965333,0.258296359959027,1.26957384963415
-0.001,-0.0017,-0.0006,0.878266666599908,3.19172994658586,2.59731349490549
-0.0011,-0.0015,-0.0004,1.76742977912702,1.21208972027381,4.52769516391396
-0.0012,-0.0009,0.0003,1.92940997657201,1.01404562590828,1.42366603097492
0.0001,-0.0011,-0.0013,5.69776937038256,4.95997836803517,1.88350100656548
0.0007,0.0017,0.0012,4.29779906148777,0.510157310205138,3.87609085762245
-0.0013,-0.0014,-0.0001,0.919325406107564,4.48298758681649,1.03331014772905
-0.0012,-0.0011,0.0001,1.86718840775675,2.99723158041191,4.55762736995713
-0.0011,-0.0005,0.0005,1.67207752538833,4.64373322206098,2.18091058397348
-0.0011,-0.0015,-0.0003,1.16094871803036,2.90343762267204,2.1778742539466
0.0002,0.0014,0.0013,3.3469251045131,1.35644772536649,1.53766577434775
-0.001,-0.0018,-0.0008,0.36307850676616,4.44867641868252,1.06600470489705
0.0007,-0.0002,-0.001,6.11018704709097,0.637840622701694,2.2246009732149
0.0001,0.0014,0.0013,3.5816776327007,1.83193028089805,4.25831614307124
0.0012,0.0014,0.0002,5.32403796073576,0.262371546010966,4.90425002247188
